pair_key,source_video,emotion,label_source,annotator,AU101,AU143,AU145,AU109,AU110,AU12,AU116,AU118,AU25,AU26,AU27,AD19,AD33,AD35,AD37,AD137,EAD101,EAD102,EAD103,EAD104,EAD105
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000232.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000319.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000018.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000319.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,1,,,,,0,0,0,1,1,0,0,,,,,,,,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000116.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000270.jpg,mixkit-14245__dogs-playing-in-the-forest,surprise,auto_model,,0,,,,,0,0,0,0,0,0,1,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000342.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,1,,,,,0,0,0,1,1,1,1,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000756.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000090.jpg,mixkit-14245__dogs-playing-in-the-forest,pain,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000324.jpg,mixkit-14245__dogs-playing-in-the-forest,pain,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000406.jpg,mixkit-14245__dogs-playing-in-the-forest,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000414.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000000.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000522.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,1,1,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000234.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000116.jpg,mixkit-14245__dogs-playing-in-the-forest,surprise,auto_model,,1,,,,,0,0,0,0,1,0,0,,,,,,,,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000036.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000493.jpg,mixkit-14245__dogs-playing-in-the-forest,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000288.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t0_000486.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000029.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,1,,,,,0,0,0,0,1,0,0,,,,,,,,,1
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000378.jpg,mixkit-14245__dogs-playing-in-the-forest,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-14245__dogs-playing-in-the-forest/mixkit-14245__dogs-playing-in-the-forest_t1_000252.jpg,mixkit-14245__dogs-playing-in-the-forest,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000260.jpg,cLDrSXhhPO8_001415,angry,auto_model,,1,,,,,0,1,0,1,1,1,1,,,,,,,,,1
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t1_000480.jpg,cLDrSXhhPO8_001415,angry,auto_model,,1,,,,,0,0,0,0,0,0,0,,,,,,,,,1
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t1_000220.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000040.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,0,,,,,0,0,0,1,1,0,1,,,,,,,,,1
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000310.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000070.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,1,,,,,0,1,0,1,1,0,1,,,,,,,,,1
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000150.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,1,,,,,0,0,0,1,1,0,1,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t1_000090.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000000.jpg,cLDrSXhhPO8_001415,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000440.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000410.jpg,cLDrSXhhPO8_001415,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000220.jpg,cLDrSXhhPO8_001415,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000340.jpg,cLDrSXhhPO8_001415,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000490.jpg,cLDrSXhhPO8_001415,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000100.jpg,cLDrSXhhPO8_001415,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/cLDrSXhhPO8_001415/cLDrSXhhPO8_001415_t0_000370.jpg,cLDrSXhhPO8_001415,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000108.jpg,dog_15324323,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000528.jpg,dog_15324323,happy,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000036.jpg,dog_15324323,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000084.jpg,dog_15324323,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000060.jpg,dog_15324323,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000000.jpg,dog_15324323,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000444.jpg,dog_15324323,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000030.jpg,dog_15324323,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_15324323/dog_15324323_t0_000480.jpg,dog_15324323,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_15324323/dog_15324323_t0_000180.jpg,dog_15324323,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000150.jpg,dog_15324323,relaxed,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_15324323/dog_15324323_t0_000408.jpg,dog_15324323,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_15324323/dog_15324323_t0_000390.jpg,dog_15324323,relaxed,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_15324323/dog_15324323_t0_000300.jpg,dog_15324323,relaxed,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_5998009/dog_5998009_t0_000300.jpg,dog_5998009,neutral,auto_model,,0,,,,,0,0,0,0,1,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000301.jpg,dog_5998009,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000168.jpg,dog_5998009,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000225.jpg,dog_5998009,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_5998009/dog_5998009_t0_000056.jpg,dog_5998009,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000140.jpg,dog_5998009,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000266.jpg,dog_5998009,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000021.jpg,dog_5998009,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000217.jpg,dog_5998009,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000100.jpg,dog_5998009,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/dog_5998009/dog_5998009_t0_000098.jpg,dog_5998009,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5998009/dog_5998009_t0_000025.jpg,dog_5998009,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t1_000036.jpg,rgLZxdHaOcE_000000,neutral,auto_model,,1,,,,,0,0,0,0,0,0,1,,,,,,,,,1
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t0_000078.jpg,rgLZxdHaOcE_000000,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t0_000018.jpg,rgLZxdHaOcE_000000,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t0_000162.jpg,rgLZxdHaOcE_000000,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t0_000204.jpg,rgLZxdHaOcE_000000,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t0_000048.jpg,rgLZxdHaOcE_000000,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/rgLZxdHaOcE_000000/rgLZxdHaOcE_000000_t2_000054.jpg,rgLZxdHaOcE_000000,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000020/1lmeeWDvv4o_000020_t1_000576.jpg,1lmeeWDvv4o_000020,neutral,auto_model,,1,,,,,0,1,0,1,1,1,1,,,,,,,,,1
tiktok_playlist_nareski/1lmeeWDvv4o_000020/1lmeeWDvv4o_000020_t1_000368.jpg,1lmeeWDvv4o_000020,neutral,auto_model,,1,,,,,1,1,0,0,0,0,1,,,,,,,,,1
tiktok_playlist_nareski/1lmeeWDvv4o_000020/1lmeeWDvv4o_000020_t1_000448.jpg,1lmeeWDvv4o_000020,neutral,auto_model,,1,,,,,1,1,1,1,1,0,1,,,,,,,,,1
tiktok_playlist_nareski/1lmeeWDvv4o_000020/1lmeeWDvv4o_000020_t1_000528.jpg,1lmeeWDvv4o_000020,neutral,auto_model,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,1
tiktok_playlist_nareski/1lmeeWDvv4o_000020/1lmeeWDvv4o_000020_t1_000144.jpg,1lmeeWDvv4o_000020,sad,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/1lmeeWDvv4o_000020/1lmeeWDvv4o_000020_t1_000224.jpg,1lmeeWDvv4o_000020,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_8499407/dog_8499407_t1_000186.jpg,dog_8499407,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_8499407/dog_8499407_t0_000030.jpg,dog_8499407,neutral,auto_model,,1,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_8499407/dog_8499407_t1_000012.jpg,dog_8499407,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_8499407/dog_8499407_t1_000072.jpg,dog_8499407,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_8499407/dog_8499407_t2_000270.jpg,dog_8499407,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog_t0_000025.jpg,mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog,neutral,auto_model,,0,,,,,0,0,0,0,0,1,1,,,,,,,,,0
DOGS/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog_t0_000100.jpg,mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog,neutral,human_verified,danek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGS/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog_t0_000075.jpg,mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog_t0_000145.jpg,mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog/mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog_t0_000170.jpg,mixkit-49320__girl-sitting-in-park-lovingly-pats-her-husky-dog,relaxed,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/pzpCfz5p7HE_000015/pzpCfz5p7HE_000015_t0_000055.jpg,pzpCfz5p7HE_000015,angry,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
tiktok_playlist_nareski/pzpCfz5p7HE_000015/pzpCfz5p7HE_000015_t0_000180.jpg,pzpCfz5p7HE_000015,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,1
tiktok_playlist_nareski/pzpCfz5p7HE_000015/pzpCfz5p7HE_000015_t0_000105.jpg,pzpCfz5p7HE_000015,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
tiktok_playlist_nareski/pzpCfz5p7HE_000015/pzpCfz5p7HE_000015_t0_000145.jpg,pzpCfz5p7HE_000015,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2834817/magnific-2834817_t0_000018.jpg,magnific-2834817,neutral,auto_model,,0,,,,,0,1,1,1,1,0,1,,,,,,,,,0
stock/magnific-2834817/magnific-2834817_t0_000342.jpg,magnific-2834817,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2834817/magnific-2834817_t0_000315.jpg,magnific-2834817,neutral,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
stock/magnific-2834817/magnific-2834817_t0_000288.jpg,magnific-2834817,fearful,auto_model,,0,,,,,0,0,0,0,0,0,0,,,,,,,,,0
DOGS/dog_5229792/dog_5229792_t0_000225.jpg,dog_5229792,neutral,auto_model,,1,,,,,0,0,0,0,0,1,0,,,,,,,,,1
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000144.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,0,,,,,0,0,0,1,1,1,1,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000150.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,1,,,,,1,1,1,1,1,1,1,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000016.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,0,,,,,0,0,0,0,1,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000048.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000075.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,happy,human_verified,mafin,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000272.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000176.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,fearful,auto_model,,0,,,,,0,0,1,0,1,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000225.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,relaxed,auto_model,,0,,,,,0,1,0,1,1,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000325.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,sad,auto_model,,0,,,,,1,1,1,1,0,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000600.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,relaxed,auto_model,,0,,,,,1,1,0,1,1,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000208.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000336.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,sad,auto_model,,0,,,,,0,1,1,1,0,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000525.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,relaxed,auto_model,,0,,,,,1,1,1,1,1,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000450.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,relaxed,auto_model,,0,,,,,1,1,1,1,1,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000784.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,sad,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
DOGS/mixkit-46938__young-boy-petting-and-playing-with-his-dog/mixkit-46938__young-boy-petting-and-playing-with-his-dog_t0_000720.jpg,mixkit-46938__young-boy-petting-and-playing-with-his-dog,neutral,auto_model,,0,,,,,0,0,0,0,0,1,0,,,,,,,,,0
